store;websites;sku;qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;use_config_min_sale_qty;use_config_max_sale_qty;is_in_stock;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;stock_status_changed_auto;use_config_qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;stock_status_changed_automatically;use_config_enable_qty_increments
admin;base,placas;11623;525400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;2642;396500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201001898;234000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201064134;220500;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42102075507;190000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ10552;120900;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ02752;120000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;9089;109258;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201078427;108000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ03176;102400;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;RFQ05054;65000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11095;64798;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11957;63000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42101071782;55900;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;3553;55000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;CB30369-A;53000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;11557;52160;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;42201079174;50000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
admin;base,placas;10844;41000;1;0;2;0;0;1;1;1;1;1;0;1;1;1;0;0;1
